year,Pneumonia,Dengue fever,influenza,cholera,,,,,,,,,,,,,
2546,"31,535","8,980","6,616",78,,,,,,,,,,,,,
2547,"27,562","6,518","4,745",883,,,,,,,,,,,,,
2548,"28,583","14,315","4,912",132,,,,,,,,,,,,,
2549,"28,162","14,637","3,600",8,,,,,,,,,,,,,
2550,"25,268","21,166","3,523",26,,,,,,,,,,,,,
2551,"24,890","25,520","4,172",117,,,,,,,,,,,,,
2552,"25,596","17,750","21,119",202,,,,,,,,,,,,,
2553,"31,032","29,121","7,325",586,,,,,,,,,,,,,
2554,"31,168","20,287","6,054",47,,,,,,,,,,,,,
2555,"37,122","16,388","6,175",17,,,,,,,,,,,,,
2556,"35,238","53,050","6,062",1,,,,,,,,,,,,,
2557,"37,989","8,213","11,165",2,,,,,,,,,,,,,
2558,"42,176","24,409","10,840",2,,,,,,,,,,,,,
2559,"45,244","7,874","14,135",2,,,,,,,,,,,,,
2560,"53,992","12,936","18,930",2,,,,,,,,,,,,,
2561,"58,699","24,029","25,698",2,,,,,,,,,,,,,
